,MatchNum,Country,Bowler,O,M,R,W,Econ,0s,4s,6s,Extra
376,32,Australia,MG Johnson,9,0,62,2,6.88,28,9,0,(2w)
377,32,Australia,SR Watson,7,0,71,1,10.14,10,9,1,
378,32,Australia,XJ Doherty,7,0,60,0,8.57,13,7,1,
379,32,Australia,GJ Maxwell,6,0,35,0,5.83,14,3,0,
380,32,Australia,JP Faulkner,9,0,48,3,5.33,23,4,0,(1w)
381,33,England,JM Anderson,10,1,45,2,4.50,35,5,0,
382,33,England,SCJ Broad,10,0,52,1,5.20,33,5,1,
383,33,England,CJ Jordan,10,0,59,2,5.90,31,5,1,(5w)
384,33,England,CR Woakes,10,0,64,0,6.40,28,4,2,"(1nb, 2w)"
385,33,England,MM Ali,9,0,44,1,4.88,24,2,1,(1w)
386,33,England,JE Root,1,0,6,0,6.00,1,0,0,
387,33,Bangladesh,Mashrafe Mortaza,10,0,48,2,4.80,35,6,0,
388,33,Bangladesh,Rubel Hossain,9.3,0,53,4,5.57,32,8,0,
389,33,Bangladesh,Arafat Sunny,8,0,42,0,5.25,23,3,1,
390,33,Bangladesh,Shakib Al Hasan,10,0,41,0,4.10,28,1,0,
391,33,Bangladesh,Taskin Ahmed,9,0,59,2,6.55,27,6,1,(1nb)
392,33,Bangladesh,Sabbir Rahman,2,0,13,0,6.50,2,1,0,
393,34,India,UT Yadav,4,0,34,1,8.50,11,3,2,(1w)
394,34,India,Mohammed Shami,9,0,41,3,4.55,35,4,1,(5w)
395,34,India,MM Sharma,6,0,38,1,6.33,18,5,0,(3w)
396,34,India,RA Jadeja,7,0,45,1,6.42,20,2,3,
397,34,India,R Ashwin,10,1,38,2,3.80,37,2,1,
398,34,India,SK Raina,10,0,40,1,4.00,32,4,0,
399,34,India,RG Sharma,3,0,21,0,7.00,4,2,0,
400,34,Ireland,JF Mooney,6,0,44,0,7.33,22,7,1,(4w)
401,34,Ireland,AR Cusack,8,0,43,0,5.37,25,6,0,(1w)
402,34,Ireland,SR Thompson,6,0,45,2,7.50,20,3,2,(4w)
403,34,Ireland,GH Dockrell,5,0,44,0,8.80,11,2,3,
404,34,Ireland,PR Stirling,5,0,36,0,7.20,10,2,2,
405,34,Ireland,KJ O'Brien,6.5,0,42,0,6.14,18,4,1,
406,35,Scotland,RML Taylor,10,0,46,1,4.60,32,2,1,
407,35,Scotland,AC Evans,10,0,72,2,7.20,30,8,2,(3w)
408,35,Scotland,JH Davey,8,0,63,3,7.87,23,8,1,(5w)
409,35,Scotland,RD Berrington,6.1,0,31,2,5.02,17,1,1,
410,35,Scotland,MA Leask,7,0,63,0,9.00,11,4,3,
411,35,Scotland,KJ Coetzer,4.5,0,39,0,8.06,9,4,1,
412,35,Scotland,MW Machan,4,0,46,1,11.50,8,1,5,(1w)
413,35,Sri Lanka,SL Malinga,9,0,29,2,3.22,35,0,0,(2w)
414,35,Sri Lanka,KMDN Kulasekara,7,0,20,3,2.85,30,1,0,(1w)
415,35,Sri Lanka,NLTC Perera,7,0,41,1,5.85,21,5,0,(2w)
416,35,Sri Lanka,TM Dilshan,5,0,15,1,3.00,19,1,0,
417,35,Sri Lanka,S Prasanna,8,0,57,0,7.12,15,3,2,
418,35,Sri Lanka,PVD Chameera,7.1,0,51,3,7.11,20,7,0,"(1nb, 1w)"
419,36,United Arab Emirates,Mohammad Naveed,10,0,63,3,6.30,32,7,1,"(3nb, 1w)"
420,36,United Arab Emirates,Kamran Shazad,8,0,59,1,7.37,23,10,0,(1nb)
421,36,United Arab Emirates,Amjad Javed,10,0,87,1,8.70,20,6,4,"(1nb, 2w)"
422,36,United Arab Emirates,Mohammad Tauqir,10,0,47,1,4.70,26,1,1,(1w)
423,36,United Arab Emirates,Fahad Alhashmi,7.2,0,45,0,6.13,17,3,0,(1w)
424,36,United Arab Emirates,Khurram Khan,4,0,31,0,7.75,1,1,1,
425,36,United Arab Emirates,Shaiman Anwar,0.4,0,4,0,6.00,0,0,0,
426,36,South Africa,DW Steyn,9,1,40,1,4.44,39,6,1,
427,36,South Africa,VD Philander,8.3,1,34,2,4.00,36,5,0,"(1nb, 1w)"
428,36,South Africa,M Morkel,10,2,23,2,2.30,45,1,0,"(2nb, 1w)"
429,36,South Africa,JP Duminy,3,1,12,1,4.00,13,2,0,
430,36,South Africa,F Behardien,4,1,11,0,2.75,16,0,0,(2w)
431,36,South Africa,Imran Tahir,10,0,40,1,4.00,35,4,0,(1w)
432,36,South Africa,AB de Villiers,3,0,15,2,5.00,10,2,0,(1w)
433,37,New Zealand,TG Southee,10,1,51,0,5.10,36,8,0,
434,37,New Zealand,TA Boult,10,3,56,2,5.60,37,9,0,(1w)
435,37,New Zealand,MJ McClenaghan,8,0,68,0,8.50,17,8,2,
436,37,New Zealand,DL Vettori,10,0,42,1,4.20,30,2,1,
437,37,New Zealand,CJ Anderson,10,0,43,2,4.30,36,4,0,(2w)
438,37,New Zealand,GD Elliott,2,0,27,2,13.50,2,0,3,(1w)
439,37,Bangladesh,Shakib Al Hasan,8.5,1,55,4,6.22,31,4,4,
440,37,Bangladesh,Taijul Islam,10,0,58,0,5.80,29,6,1,
441,37,Bangladesh,Rubel Hossain,8,1,40,1,5.00,29,5,0,
442,37,Bangladesh,Taskin Ahmed,8,0,49,0,6.12,25,6,1,(2w)
443,37,Bangladesh,Soumya Sarkar,4,0,19,0,4.75,10,1,0,(1w)
444,37,Bangladesh,Sabbir Rahman,2,0,14,0,7.00,4,2,0,
445,37,Bangladesh,Mahmudullah,3,0,22,0,7.33,5,2,0,(1w)
446,37,Bangladesh,Nasir Hossain,5,0,32,2,6.40,18,3,2,
447,38,England,JM Anderson,7,0,18,1,2.57,32,1,0,(2w)
448,38,England,SCJ Broad,8,1,18,1,2.25,36,0,0,(2w)
449,38,England,CJ Jordan,6.2,2,13,2,2.05,32,2,0,(1w)
450,38,England,RS Bopara,8,1,31,2,3.87,30,3,0,(1w)
451,38,England,JC Tredwell,7,0,25,1,3.57,27,1,1,
452,38,Afghanistan,Shapoor Zadran,4,0,25,0,6.25,12,4,0,
453,38,Afghanistan,Dawlat Zadran,3,0,23,0,7.66,10,3,1,
454,38,Afghanistan,Hamid Hassan,5,0,17,1,3.40,20,0,0,(1w)
455,38,Afghanistan,Mohammad Nabi,4.1,0,14,0,3.36,13,0,0,
456,38,Afghanistan,Samiullah Shenwari,2,0,19,0,9.50,5,2,1,
457,39,India,Mohammed Shami,9,2,48,3,5.33,37,2,4,(3w)
458,39,India,UT Yadav,9.5,1,43,3,4.37,37,2,1,(2w)
459,39,India,MM Sharma,10,1,48,3,4.80,33,4,1,(1w)
460,39,India,R Ashwin,10,0,75,1,7.50,28,7,4,(1w)
461,39,India,RA Jadeja,10,0,71,0,7.10,26,8,2,
462,39,Zimbabwe,T Panyangara,8.4,1,53,2,6.11,30,5,2,(2w)
463,39,Zimbabwe,TL Chatara,10,1,59,0,5.90,35,8,0,"(1nb, 6w)"
464,39,Zimbabwe,T Mupariwa,10,0,61,0,6.10,25,5,1,(2w)
465,39,Zimbabwe,SF Mire,5,0,29,0,5.80,15,4,0,
466,39,Zimbabwe,SC Williams,5,0,31,0,6.20,16,2,2,
467,39,Zimbabwe,Sikandar Raza,8,0,37,1,4.62,20,2,0,(1w)
468,39,Zimbabwe,H Masakadza,2,0,15,0,7.50,6,1,1,(1w)
469,40,Australia,MA Starc,4.4,1,14,4,3.00,22,2,0,(1w)
470,40,Australia,PJ Cummins,7,1,42,3,6.00,28,9,0,(1w)
471,40,Australia,SR Watson,3,0,18,1,6.00,11,3,0,
472,40,Australia,MG Johnson,4,1,16,1,4.00,19,3,0,(1w)
473,40,Australia,GJ Maxwell,4,0,24,1,6.00,15,3,0,(1w)
474,40,Australia,JP Faulkner,3,0,15,0,5.00,14,1,0,(1w)
475,40,Scotland,I Wardlaw,5,0,57,1,11.40,13,6,4,(1w)
476,40,Scotland,RML Taylor,5,0,29,1,5.80,19,6,0,
477,40,Scotland,JH Davey,5,1,38,1,7.60,16,6,1,(1w)
478,40,Scotland,MA Leask,0.2,0,7,0,21.00,1,0,1,(1w)
479,41,West Indies,JE Taylor,8.4,0,36,3,4.15,33,2,1,(2w)
480,41,West Indies,JO Holder,10,1,27,4,2.70,45,2,0,(4w)
481,41,West Indies,KAJ Roach,8,0,54,0,6.75,28,9,0,(2w)
482,41,West Indies,AD Russell,8,3,20,2,2.50,38,1,1,(2w)
483,41,West Indies,MN Samuels,10,4,25,1,2.50,50,4,0,
484,41,West Indies,DJG Sammy,1,0,4,0,4.00,3,0,0,
485,41,West Indies,DR Smith,2,0,5,0,2.50,7,0,0,
486,41,United Arab Emirates,Nasir Aziz,6,0,47,0,7.83,17,5,2,
487,41,United Arab Emirates,Mohammad Naveed,6,0,34,0,5.66,23,4,0,(1w)
488,41,United Arab Emirates,AM Guruge,7.3,1,40,2,5.33,27,4,1,
489,41,United Arab Emirates,Mohammad Tauqir,3,0,22,0,7.33,10,3,1,
490,41,United Arab Emirates,Amjad Javed,8,0,29,2,3.62,30,2,0,(2w)
491,42,Pakistan,Sohail Khan,10,0,44,2,4.40,34,3,1,(2w)
492,42,Pakistan,Ehsan Adil,7,0,31,1,4.42,28,3,0,(2w)
493,42,Pakistan,Rahat Ali,10,0,48,2,4.80,34,5,0,(2w)
494,42,Pakistan,Wahab Riaz,10,0,54,3,5.40,30,4,1,(3w)
495,42,Pakistan,Shahid Afridi,10,0,38,0,3.80,32,3,0,
496,42,Pakistan,Haris Sohail,3,0,20,1,6.66,5,1,0,(1w)
497,42,Ireland,AR Cusack,10,1,43,1,4.30,33,3,0,(3w)
