,MatchNum,Country,Batsman,Dismissal-Info,R,M,B,4s,6s,SR
344,20,Australia,MA Starc,b Boult,0,2,3,0,0,0.00
345,20,Australia,PJ Cummins,not out,7,51,30,1,0,23.33
346,20,New Zealand,MJ Guptill,c Cummins b Starc,11,14,1,1,78.57,
347,20,New Zealand,BB McCullum*,c Starc b Cummins,50,24,7,3,208.33,
348,20,New Zealand,KS Williamson,not out,45,42,5,1,107.14,
349,20,New Zealand,LRPL Taylor,b Starc,1,2,0,0,50.00,
350,20,New Zealand,GD Elliott,b Starc,0,1,0,0,0.00,
351,20,New Zealand,CJ Anderson,c Cummins b Maxwell,26,42,2,1,61.90,
352,20,New Zealand,L Ronchi†,c †Haddin b Starc,6,7,0,1,85.71,
353,20,New Zealand,DL Vettori,c Warner b Cummins,2,3,0,0,66.66,
354,20,New Zealand,AF Milne,b Starc,0,2,0,0,0.00,
355,20,New Zealand,TG Southee,b Starc,0,1,0,0,0.00,
356,20,New Zealand,TA Boult,not out,0,2,0,0,0.00,
357,21,United Arab Emirates,Amjad Ali,c †Dhoni b Kumar,4,20,12,0,0,33.33
358,21,United Arab Emirates,AR Berenger,c †Dhoni b Yadav,4,7,9,1,0,44.44
359,21,United Arab Emirates,Krishna Chandran,c Raina b Ashwin,4,36,27,0,0,14.81
360,21,United Arab Emirates,Khurram Khan,c Raina b Ashwin,14,51,28,1,0,50.00
361,21,United Arab Emirates,SP Patil†,c Dhawan b Ashwin,7,17,19,1,0,36.84
362,21,United Arab Emirates,Shaiman Anwar,b Yadav,35,63,49,6,0,71.42
363,21,United Arab Emirates,Rohan Mustafa,lbw b MM Sharma,2,13,12,0,0,16.66
364,21,United Arab Emirates,Amjad Javed,c Raina b Jadeja,2,7,5,0,0,40.00
365,21,United Arab Emirates,Mohammad Naveed,b Ashwin,6,4,7,0,1,85.71
366,21,United Arab Emirates,Mohammad Tauqir*,b Jadeja,1,4,5,0,0,20.00
367,21,United Arab Emirates,AM Guruge,not out,10,23,16,1,0,62.50
368,21,India,RG Sharma,not out,57,77,55,10,1,103.63
369,21,India,S Dhawan,c Rohan Mustafa b Mohammad Naveed,14,27,17,3,0,82.35
370,21,India,V Kohli,not out,33,49,41,5,0,80.48
371,22,England,MM Ali,c Lakmal b Mathews,15,43,26,3,0,57.69
372,22,England,IR Bell,b Lakmal,49,87,54,7,0,90.74
373,22,England,GS Ballance,c & b Dilshan,6,10,14,1,0,42.85
374,22,England,JE Root,lbw b Herath,121,151,108,14,2,112.03
375,22,England,EJG Morgan*,c Dilshan b Perera,27,54,47,2,1,57.44
376,22,England,JWA Taylor,c Dilshan b Malinga,25,54,26,1,1,96.15
377,22,England,JC Buttler†,not out,39,28,19,6,1,205.26
378,22,England,CR Woakes,not out,9,19,8,1,0,112.50
379,22,Sri Lanka,HDRL Thirimanne,not out,139,197,143,13,2,97.20
380,22,Sri Lanka,TM Dilshan,c Morgan b Ali,44,81,55,4,2,80.00
381,22,Sri Lanka,KC Sangakkara†,not out,117,116,86,11,2,136.04
382,23,Pakistan,Nasir Jamshed,c Sikandar Raza b Chatara,1,8,9,0,0,11.11
383,23,Pakistan,Ahmed Shehzad,c †Taylor b Chatara,0,17,11,0,0,0.00
384,23,Pakistan,Haris Sohail,c Williams b Sikandar Raza,27,85,44,2,0,61.36
385,23,Pakistan,Misbah-ul-Haq*,c Williams b Chatara,73,191,121,3,0,60.33
386,23,Pakistan,Umar Akmal†,b Williams,33,53,42,3,0,78.57
387,23,Pakistan,Shahid Afridi,b Williams,0,2,2,0,0,0.00
388,23,Pakistan,Sohaib Maqsood,c & b Mupariwa,21,19,17,2,0,123.52
389,23,Pakistan,Wahab Riaz,not out,54,56,46,6,1,117.39
390,23,Pakistan,Sohail Khan,not out,6,18,8,0,0,75.00
391,23,Zimbabwe,CJ Chibhabha,c Haris Sohail b Mohammad Irfan,9,19,18,2,0,50.00
392,23,Zimbabwe,Sikandar Raza,c Haris Sohail b Mohammad Irfan,8,29,15,0,0,53.33
393,23,Zimbabwe,H Masakadza,c Misbah-ul-Haq b Mohammad Irfan,29,71,54,4,0,53.70
394,23,Zimbabwe,BRM Taylor†,c †Umar Akmal b Wahab Riaz,50,95,72,6,0,69.44
395,23,Zimbabwe,SC Williams,c Ahmed Shehzad b Rahat Ali,33,53,32,2,0,103.12
396,23,Zimbabwe,CR Ervine,c †Umar Akmal b Wahab Riaz,14,45,29,1,0,48.27
397,23,Zimbabwe,SF Mire,c †Umar Akmal b Mohammad Irfan,8,14,14,0,0,57.14
398,23,Zimbabwe,E Chigumbura*,c †Umar Akmal b Wahab Riaz,35,60,35,4,0,100.00
399,23,Zimbabwe,T Mupariwa,c †Umar Akmal b Wahab Riaz,0,2,2,0,0,0.00
400,23,Zimbabwe,T Panyangara,run out (†Umar Akmal/Wahab Riaz),10,43,28,0,0,35.71
401,23,Zimbabwe,TL Chatara,not out,0,1,0,0,0,-
402,24,South Africa,HM Amla,c Joyce b McBrine,159,168,128,16,4,124.21
403,24,South Africa,Q de Kock†,c †Wilson b Mooney,1,11,4,0,0,25.00
404,24,South Africa,F du Plessis,b KJ O'Brien,109,139,109,10,1,100.00
405,24,South Africa,AB de Villiers*,c NJ O'Brien b McBrine,24,16,9,1,2,266.66
406,24,South Africa,DA Miller,not out,46,43,23,4,2,200.00
407,24,South Africa,RR Rossouw,not out,61,40,30,6,3,203.33
408,24,Ireland,WTS Porterfield*,c du Plessis b Abbott,12,17,17,2,0,70.58
409,24,Ireland,PR Stirling,c †de Kock b Steyn,9,11,6,2,0,150.00
410,24,Ireland,EC Joyce,c Amla b Steyn,0,7,4,0,0,0.00
411,24,Ireland,NJ O'Brien,c Amla b Abbott,14,21,9,2,0,155.55
412,24,Ireland,A Balbirnie,c Rossouw b Morkel,58,81,71,7,0,81.69
413,24,Ireland,GC Wilson†,lbw b Abbott,0,6,3,0,0,0.00
414,24,Ireland,KJ O'Brien,c Rossouw b Abbott,48,90,65,3,1,73.84
415,24,Ireland,JF Mooney,b de Villiers,8,16,15,0,0,53.33
416,24,Ireland,GH Dockrell,b Morkel,25,61,57,1,1,43.85
417,24,Ireland,MC Sorensen,c †de Kock b Morkel,22,31,19,3,1,115.78
418,24,Ireland,AR McBrine,not out,2,9,4,0,0,50.00
419,25,Pakistan,Nasir Jamshed,c Khurram Khan b Guruge,4,15,12,0,0,33.33
420,25,Pakistan,Ahmed Shehzad,run out (Shaiman Anwar/†Patil),93,148,105,8,1,88.57
421,25,Pakistan,Haris Sohail,c Shaiman Anwar b Mohammad Naveed,70,124,83,5,1,84.33
422,25,Pakistan,Sohaib Maqsood,c Rohan Mustafa b Guruge,45,48,31,4,2,145.16
423,25,Pakistan,Misbah-ul-Haq*,c Rohan Mustafa b Guruge,65,68,49,4,2,132.65
424,25,Pakistan,Umar Akmal†,c Amjad Ali b Guruge,19,27,13,1,1,146.15
425,25,Pakistan,Shahid Afridi,not out,21,8,7,1,2,300.00
426,25,Pakistan,Wahab Riaz,not out,6,6,1,0,1,600.00
427,25,United Arab Emirates,Amjad Ali,b Rahat Ali,14,29,30,2,0,46.66
428,25,United Arab Emirates,AR Berenger,c †Umar Akmal b Sohail Khan,2,34,13,0,0,15.38
429,25,United Arab Emirates,Krishna Chandran,c †Umar Akmal b Sohail Khan,0,18,11,0,0,0.00
430,25,United Arab Emirates,Khurram Khan,c Wahab Riaz b Sohaib Maqsood,43,85,54,3,1,79.62
431,25,United Arab Emirates,Shaiman Anwar,c Nasir Jamshed b Shahid Afridi,62,104,88,4,2,70.45
432,25,United Arab Emirates,SP Patil†,b Wahab Riaz,36,84,68,2,0,52.94
433,25,United Arab Emirates,Rohan Mustafa,c Ahmed Shehzad b Shahid Afridi,0,2,2,0,0,0.00
434,25,United Arab Emirates,Amjad Javed,c Sohail Khan b Wahab Riaz,40,48,33,5,2,121.21
435,25,United Arab Emirates,Mohammad Naveed,not out,0,4,0,0,0,-
436,25,United Arab Emirates,Mohammad Tauqir*,not out,0,1,1,0,0,0.00
437,26,Australia,DA Warner,c Mohammad Nabi b Shapoor Zadran,178,164,133,19,5,133.83
438,26,Australia,AJ Finch,c Nawroz Mangal b Dawlat Zadran,4,14,9,0,0,44.44
439,26,Australia,SPD Smith,c Najibullah Zadran b Shapoor Zadran,95,173,98,8,1,96.93
440,26,Australia,GJ Maxwell,c Mohammad Nabi b Dawlat Zadran,88,45,39,6,7,225.64
441,26,Australia,JP Faulkner,b Hamid Hassan,7,15,6,1,0,116.66
442,26,Australia,MR Marsh,c Najibullah Zadran b Nawroz Mangal,8,17,9,0,0,88.88
443,26,Australia,BJ Haddin†,not out,20,10,9,2,1,222.22
444,26,Afghanistan,Javed Ahmadi,c Clarke b Hazlewood,13,34,24,1,0,54.16
445,26,Afghanistan,Usman Ghani,c Faulkner b Johnson,12,28,19,0,0,63.15
446,26,Afghanistan,Nawroz Mangal,c Finch b Johnson,33,54,35,2,2,94.28
447,26,Afghanistan,Asghar Stanikzai,c Smith b Johnson,4,12,10,0,0,40.00
448,26,Afghanistan,Samiullah Shenwari,c Johnson b Clarke,17,33,31,2,0,54.83
449,26,Afghanistan,Mohammad Nabi*,c Clarke b Maxwell,2,20,10,0,0,20.00
450,26,Afghanistan,Najibullah Zadran,b Starc,24,42,31,1,1,77.41
451,26,Afghanistan,Afsar Zazai†,c †Haddin b Hazlewood,10,47,40,0,0,25.00
452,26,Afghanistan,Dawlat Zadran,b Starc,0,3,4,0,0,0.00
453,26,Afghanistan,Hamid Hassan,c Warner b Johnson,7,27,18,0,0,38.88
454,26,Afghanistan,Shapoor Zadran,not out,0,5,4,0,0,0.00
455,27,Scotland,KJ Coetzer,c Soumya Sarkar b Nasir Hossain,156,198,134,17,4,116.41
456,27,Scotland,CS MacLeod,c Mahmudullah b Mashrafe Mortaza,11,9,11,2,0,100.00
457,27,Scotland,HJW Gardiner,c Soumya Sarkar b Taskin Ahmed,19,29,32,3,0,59.37
458,27,Scotland,MW Machan,c & b Sabbir Rahman,35,65,50,2,1,70.00
459,27,Scotland,PL Mommsen*,c Soumya Sarkar b Nasir Hossain,39,84,38,2,1,102.63
460,27,Scotland,RD Berrington,c †Mushfiqur Rahim b Taskin Ahmed,26,27,16,1,2,162.50
461,27,Scotland,MH Cross†,c Sabbir Rahman b Taskin Ahmed,20,23,14,1,1,142.85
462,27,Scotland,JH Davey,not out,4,8,3,0,0,133.33
